#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-58591.802504,37,49.612521
-39983.743449,25,49.695222
-33987.024368,22,49.72193
-112854.987346,72,49.789616
-76873.819628,49,49.835969
-200412.646901,127,50.013532
-118561.885071,76,50.088263
-50181.225749,32,50.1193
-82880.246661,52,50.175345
-84762.217363,54,50.227485
-353968.182755,224,50.492492
-136144.301486,89,50.637756
-30595.360125,20,50.659928
-34490.919922,21,50.68392
-46174.367481,30,50.71524
-92169.940894,61,50.773154
-60881.998329,39,50.807765
-65973.638678,41,50.848652
-198135.040233,129,51.018655
-144256.869994,91,51.101862
-146849.640966,92,51.248301
-208729.467185,129,51.376226
-52985.773568,33,51.409991
-53885.457204,33,51.441006
-338389.451586,215,51.687913
-25893.18724,17,51.705196
-36279.773314,24,51.727911
-55087.026955,36,51.818848
-87680.00245,56,51.872184
-47887.269731,31,51.906248
-59583.973292,38,51.945747
-100669.34008,63,52.007048
-39694.447929,25,52.035611
-162345.132824,101,52.194286
-102570.940325,63,52.258836
-95850.977735,63,52.320541
-106862.785949,68,52.446981
-57292.124421,35,52.481069
-166147.440514,104,52.57681
-111569.210921,69,52.645249
-59792.092368,36,52.741295
-131150.139963,87,52.82089
-110871.887284,69,52.8837
-44185.206434,29,52.915302
-30894.871264,21,52.942939
-89075.914259,54,53.045023
-108464.045603,70,53.114993
-29486.398456,19,53.136225
-161855.577033,106,53.230573
-29290.559848,18,53.251836
-66179.971561,43,53.355882
-35991.072452,23,53.38384
-171229.799145,108,53.481081
-133072.464218,85,53.560044
-107876.779441,64,53.669309
-189447.963118,119,53.768099
-126851.741317,82,53.841872
-61488.798004,39,53.9399
-29290.133806,20,53.963125
-115769.151306,73,54.02785
-79681.933078,50,54.074876
-67690.339693,43,54.113683
-56285.25598,36,54.14778
-57886.113093,38,54.2349
-33692.251195,21,54.260074
-154851.596622,98,54.349083
-116947.053941,74,54.416353
-83163.127868,53,54.532392
-49488.600152,33,54.566556
-37186.571668,26,54.592159
-64281.81698,41,54.633142
-115267.936002,74,54.702992
-111357.431181,71,54.766411
-98266.968549,62,54.874199
-70374.787037,45,54.922078
-38389.322174,24,54.948131
-263726.779921,163,55.148252
-14597.392309,9,55.158601
-21592.851554,14,55.172148
-409579.522882,264,55.448471
-63381.680319,39,55.489377
-66074.736371,42,55.529569
-98764.598268,65,55.593679
-20894.642097,14,55.610759
-223824.042909,144,55.790482
-50387.598596,32,55.821609
-339489.851974,218,56.072488
-76279.429651,48,56.12199
-38980.505724,25,56.149366
-99972.15151,62,56.208908
-62085.076589,38,56.302983
-103763.029567,65,56.367468
-62880.467428,42,56.409288
-50987.019873,33,56.442389
-75683.548824,47,56.490069
-329684.884861,209,56.747093
-103770.424882,65,56.808763
-145360.748494,92,57.046139
-111356.927607,71,57.113066
